reknr,omschr,debet,credit,afsluiten,afgesloten,btwkode,grootboek,apko,kode,debeta,credita,debetper,creditper,fiche,omschrfr,omschrde,omschren,marge,wagenpark
"25","VASTE ACT.IN LEASING OP OP GROND VAN SOORTG.RECHT",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"26","OVERIGE MATERIELE VASTE ACTIVA",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"27","VASTE ACTIVA IN AANBOUW EN VOORUITBETALINGEN",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"28","FINANCIELE VASTE ACTIVA",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"29","VORDERINGEN OP MEER DAN 1 JAAR",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"30","GRONDSTOFFEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"31","HULPSTOFFEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"32","GOEDEREN IN BEWERKING",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"33","GEREED PRODUKT",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"34","HANDELSGOEDEREN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"35","ONROERENDE GOEDEREN BESTEMD VOOR VERKOOP",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"36","VOORRUITBETALINGEN OP VOORRAADINKOPEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"37","BESTELLINGEN IN UITVOERING",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"38","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"39","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"40","HANDELSVORDERINGEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"41","OVERIGE VORDERINGEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"42","SCHULDEN OP MEER DAN 1 JAAR VERVALLEND I/H JAAR",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"43","FINANCIELE SCHULDEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"44","HANDELSSCHULDEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"45","SCHULDEN M.B.T. BELASTINGEN, BEZOLD. EN SOC.LASTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"46","ONTVANGEN VOORUITBETALINGEN OP BESTELLINGEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"47","SCHULDEN UIT DE BESTEMMING VAN HET RESULTAAT",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"48","DIVERSE SCHULDEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"49","OVERLOPENDE REKENINGEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"50","EIGEN AANDELEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"51","AANDELEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"52","VASTRENTENDE EFFECTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"53","TERMIJNDEPOSITO'S",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"54","TE INCASSEREN VERVALLEN WAARDEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"55","KREDIETINSTELLINGEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"56","POSTCHEQUE EN GIRODIENST",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"57","KASSEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"58","INTERNE OVERBOEKINGEN",0.0000,0.0000,"",F," ","N","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"59","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"60","HANDELSGOEDEREN, GROND- EN HULPSTOFFEN",0.0000,0.0000,"",F,"H"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"61","DIENSTEN EN DIVERSE GOEDEREN",0.0000,0.0000,"",F,"D"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"62","BEZOLDIGINGEN, SOC. LASTEN EN PENSIOENEN",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"63","AFSCHR., WAARDEVERM. EN VOORZ. RISICO'S & LASTEN",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"64","ANDERE BEDRIJFSKOSTEN",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"65","FINANCIELE KOSTEN",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"66","UITZONDERLIJKE KOSTEN",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"67","BELASTINGEN OP HET RESULTAAT",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"68","OVERBOEKING NAAR DE BELASTINGVRIJE RESERVES",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"69","RESULTAATVERWERKING",0.0000,0.0000,"",F,"-"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"70","OMZET",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"71","WIJZIGINGEN IN DE VOORR. EN IN DE BESTEL.IN UITV.",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"72","GEACTIVEERDE INTERNE PRODUCTIE",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"73","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"74","ANDERE BEDRIJFSOPBRENGSTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"75","FINANCIELE OPBRENGSTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"76","UITZONDERLIJKE OPBRENGSTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"77","REGUL.VAN BELASTINGEN EN TERUGNAME VAN FISC.VOORZ.",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"78","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"79","RESULTAATVERWERKING",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"230020","ELEKTRISCHE INSTALLATIES",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"240020","SOFTWARE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"240000","MEUBILAIR",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"232030","HARDWARE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"232020","SOFTWARE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"232010","MATERIEEL IN BRUIKLEEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"232000","HORECAMATERIEEL",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"231010","BUREELMACHINES niet",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"200000","OPRICHTINGSKOSTEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"230050","VERWARMINGSINSTALLATIE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242100","ROLLEND MATERIEEL - VW -",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
